CODGEO	REG	DEP	ARR	CV	ZE1990	EPCI	LIBGEO	PSDC99	PSDC90	SUPERF	NAIS9099	DEC9099	MENP99	LOG99	RS99	RNETFF06	NBFF06	NBFFI06	MEDRFUC06	EMPTOT99	EMPSA99	EMPTOT90	DEFMT07	ETTOT06	ETIND06	ETCOS06	ETCOM06	ETSER06	ETTEF106	ETTEFP1006
69001	82	69	692	6929	8211	246900708	Affoux	248	202	10.65	27	24	91	125	22	2979601	160	80	16661	28	20	44		9	0	1	2	6	5	0
69002	82	69	692	6923	8202	246900682	Aigueperse	232	240	12.95	20	37	103	179	53	1934477	132	48	13057	48	20	88		14	3	3	2	6	6	0
69003	82	69	691	6925	8211	246900245	Albigny-sur-Saône	2673	2836	2.57	281	843	904	970	17	38577091	1534	789	19648	887	803	924	64	108	6	16	18	68	38	5
69004	82	69	692	6902	8202	246900658	Alix	690	665	3.61	59	106	217	239	22	7980441	356	196	19099	310	298	260	9	26	4	4	3	15	8	1
69005	82	69	692	6902	8202	246900658	Ambérieux	427	378	4.55	43	27	147	161	4	6306435	254	158	16826	550	510	448	6	50	9	11	14	16	22	8
69006	82	69	692	6901	8201	246900583	Amplepuis	4948	4839	38.44	532	561	1965	2280	129	49831244	2811	1266	14831	2091	1804	2104	136	291	36	20	86	149	108	34
69007	82	69	691	6907	8214	246900633	Ampuis	2178	2051	15.57	237	257	802	886	35	35728710	1414	838	19328	925	771	968	51	127	8	18	39	62	54	9
69008	82	69	692	6929	8211	246900708	Ancy	475	448	11.84	42	22	179	223	27	5415285	268	140	15620	84	20	88	6	17	3	3	2	9	9	0
69009	82	69	692	6902	8202	246900658	Anse	4744	4458	15.23	501	408	1665	1794	52	63971150	2758	1658	18762	1926	1638	1632	115	342	46	31	73	192	138	35
69010	82	69	691	6903	8211	246900625	L' Arbresle	5777	5199	3.36	780	458	2183	2458	80	66014116	3253	1852	17369	2438	2169	2456	173	462	27	32	115	288	166	39
69012	82	69	692	6904	8202	246900781	Les Ardillats	483	424	23.1	46	48	181	234	31	5214567	245	146	16055	152	104	244	7	22	5	2	1	14	9	1
69013	82	69	692	6953	8202	246900229	Arnas	3106	2783	17.52	286	128	1140	1200	24	41187737	1661	1098	18791	3008	2780	2632	64	326	54	38	74	160	113	61
69014	82	69	691	6928	8211	246900773	Aveize	940	904	16.64	102	45	320	369	27	8412277	481	222	14438	569	477	456	14	32	1	7	5	19	13	2
69015	82	69	692	6904	8202	246900781	Avenas	106	105	9.49	13	7	39	63	16	881068	57	25		20	4	28		8	1	0	1	6	3	0
69016	82	69	692	6923	8202	246900682	Azolette	116	74	4.18	12	6	41	81	39	1082747	57	28		12	0	20		3	0	2	0	1	2	0
69017	82	69	692	6906	8211	246900732	Bagnols	701	636	7.35	59	37	248	301	42	9664251	373	220	18931	140	84	140	17	39	5	5	11	18	14	3
69018	82	69	692	6904	8202	246900781	Beaujeu	1905	1874	17.85	236	316	771	974	97	19787057	1182	555	15262	966	798	936	58	169	15	14	33	107	68	14
69019	82	69	692	6905	8202	246900641	Belleville	5840	5935	10.42	850	640	2446	2599	31	71257525	4033	1944	14900	3731	3315	3676	279	593	66	29	151	347	252	62
69020	82	69	692	6902	8211	246900591	Belmont-d'Azergues	613	509	1.51	76	11	207	216	5	8124218	301	199	19876	53	49	32	12	17	2	2	3	10	7	1
69021	82	69	691	6903	8211	246900625	Bessenay	1830	1611	14.01	216	86	705	835	92	25460331	1081	619	17334	423	295	412	29	111	9	17	22	63	42	8
69022	82	69	691	6903	8211	246900625	Bibost	395	351	5.23	34	27	146	189	33	4650803	238	124	16087	161	116	80	7	16	0	1	4	11	5	0
69023	82	69	692	6953	8202	246900674	Blacé	1205	1093	11	120	183	437	501	48	16679129	672	399	18540	256	152	272	21	75	3	15	16	41	24	3
69024	82	69	692	6906	8211	246900732	Le Bois-d'Oingt	1823	1518	5.13	173	177	655	789	89	24807056	1091	611	18930	680	544	608	32	160	12	15	28	105	71	11
69025	82	69	692	6930	8201	246900583	Bourg-de-Thizy	2670	2883	14.49	308	346	1019	1227	41	31634027	1464	698	14641	1252	1124	1076	74	149	20	24	32	73	41	28
69026	82	69	692	6906	8211	246900732	Le Breuil	363	310	5.63	54	23	128	149	15	4252435	203	118	16539	64	36	40	7	12	2	1	2	7	4	0
69027	82	69	691	6926	8211	246900757	Brignais	11207	10036	10.36	1267	479	3924	4094	45	155158186	5861	3795	20173	5214	4633	4092	256	866	109	114	189	454	360	135
69028	82	69	691	6931	8211	246900724	Brindas	4555	3555	11.27	409	188	1565	1690	57	90435254	2516	1787	22395	1169	921	764	80	315	44	52	57	162	106	21
69029	82	69	691	6935	8211	246900245	Bron	37369	39683	10.3	5505	2195	14964	16255	191	446466174	21021	11553	16593	19878	18803	17012	1302	2106	114	195	459	1338	769	293
69030	82	69	691	6927	8211	246900690	Brullioles	574	559	12.25	60	37	211	287	57	7612936	401	213	16385	128	72	92	8	35	6	6	8	15	9	2
69031	82	69	691	6927	8211	246900690	Brussieu	752	641	6.74	74	43	283	347	36	10765260	500	289	17806	185	129	108	15	37	4	4	8	21	12	3
69032	82	69	691	6903	8211	246900625	Bully	1739	1464	12.59	191	228	591	687	63	23325866	1012	590	18607	341	209	316	33	95	8	22	19	46	26	7
69033	82	69	691	6925	8211	246900245	Cailloux-sur-Fontaines	2172	1750	8.69	196	83	685	715	7	39892576	1079	775	23846	275	191	160	41	86	7	21	19	39	37	3
