AGE	MONTH	SEX	HEADLEN	HEADWTH	NECK	LENGTH	CHEST	WEIGHT
1.900000000e+001	7.000000000e+000	1.000000000e+000	1.100000000e+001	5.500000000e+000	1.600000000e+001	5.300000000e+001	2.600000000e+001	8.000000000e+001
5.500000000e+001	7.000000000e+000	1.000000000e+000	1.650000000e+001	9.000000000e+000	2.800000000e+001	6.750000000e+001	4.500000000e+001	3.440000000e+002
8.100000000e+001	9.000000000e+000	1.000000000e+000	1.550000000e+001	8.000000000e+000	3.100000000e+001	7.200000000e+001	5.400000000e+001	4.160000000e+002
1.150000000e+002	7.000000000e+000	1.000000000e+000	1.700000000e+001	1.000000000e+001	3.150000000e+001	7.200000000e+001	4.900000000e+001	3.480000000e+002
1.040000000e+002	8.000000000e+000	2.000000000e+000	1.550000000e+001	6.500000000e+000	2.200000000e+001	6.200000000e+001	3.500000000e+001	1.660000000e+002
1.000000000e+002	4.000000000e+000	2.000000000e+000	1.300000000e+001	7.000000000e+000	2.100000000e+001	7.000000000e+001	4.100000000e+001	2.200000000e+002
5.600000000e+001	7.000000000e+000	1.000000000e+000	1.500000000e+001	7.500000000e+000	2.650000000e+001	7.350000000e+001	4.100000000e+001	2.620000000e+002
5.100000000e+001	4.000000000e+000	1.000000000e+000	1.350000000e+001	8.000000000e+000	2.700000000e+001	6.850000000e+001	4.900000000e+001	3.600000000e+002
5.700000000e+001	9.000000000e+000	2.000000000e+000	1.350000000e+001	7.000000000e+000	2.000000000e+001	6.400000000e+001	3.800000000e+001	2.040000000e+002
5.300000000e+001	5.000000000e+000	2.000000000e+000	1.250000000e+001	6.000000000e+000	1.800000000e+001	5.800000000e+001	3.100000000e+001	1.440000000e+002
6.800000000e+001	8.000000000e+000	1.000000000e+000	1.600000000e+001	9.000000000e+000	2.900000000e+001	7.300000000e+001	4.400000000e+001	3.320000000e+002
8.000000000e+000	8.000000000e+000	1.000000000e+000	9.000000000e+000	4.500000000e+000	1.300000000e+001	3.700000000e+001	1.900000000e+001	3.400000000e+001
4.400000000e+001	8.000000000e+000	2.000000000e+000	1.250000000e+001	4.500000000e+000	1.050000000e+001	6.300000000e+001	3.200000000e+001	1.400000000e+002
3.200000000e+001	8.000000000e+000	1.000000000e+000	1.400000000e+001	5.000000000e+000	2.150000000e+001	6.700000000e+001	3.700000000e+001	1.800000000e+002
2.000000000e+001	8.000000000e+000	2.000000000e+000	1.150000000e+001	5.000000000e+000	1.750000000e+001	5.200000000e+001	2.900000000e+001	1.050000000e+002
3.200000000e+001	8.000000000e+000	1.000000000e+000	1.300000000e+001	8.000000000e+000	2.150000000e+001	5.900000000e+001	3.300000000e+001	1.660000000e+002
4.500000000e+001	9.000000000e+000	1.000000000e+000	1.350000000e+001	7.000000000e+000	2.400000000e+001	6.400000000e+001	3.900000000e+001	2.040000000e+002
9.000000000e+000	9.000000000e+000	2.000000000e+000	9.000000000e+000	4.500000000e+000	1.200000000e+001	3.600000000e+001	1.900000000e+001	2.600000000e+001
2.100000000e+001	9.000000000e+000	1.000000000e+000	1.300000000e+001	6.000000000e+000	1.900000000e+001	5.900000000e+001	3.000000000e+001	1.200000000e+002
1.770000000e+002	9.000000000e+000	1.000000000e+000	1.600000000e+001	9.500000000e+000	3.000000000e+001	7.200000000e+001	4.800000000e+001	4.360000000e+002
5.700000000e+001	9.000000000e+000	2.000000000e+000	1.250000000e+001	5.000000000e+000	1.900000000e+001	5.750000000e+001	3.200000000e+001	1.250000000e+002
8.100000000e+001	9.000000000e+000	2.000000000e+000	1.300000000e+001	5.000000000e+000	2.000000000e+001	6.100000000e+001	3.300000000e+001	1.320000000e+002
2.100000000e+001	9.000000000e+000	1.000000000e+000	1.300000000e+001	5.000000000e+000	1.700000000e+001	5.400000000e+001	2.800000000e+001	9.000000000e+001
9.000000000e+000	9.000000000e+000	1.000000000e+000	1.000000000e+001	4.000000000e+000	1.300000000e+001	4.000000000e+001	2.300000000e+001	4.000000000e+001
4.500000000e+001	9.000000000e+000	1.000000000e+000	1.600000000e+001	6.000000000e+000	2.400000000e+001	6.300000000e+001	4.200000000e+001	2.200000000e+002
